pit_id,block_id,fold
211,129.0,0.0
212,129.0,0.0
213,129.0,0.0
214,129.0,0.0
215,142.0,0.0
216,141.0,0.0
217,142.0,0.0
218,141.0,0.0
219,141.0,0.0
220,141.0,0.0
221,141.0,0.0
222,140.0,1.0
223,140.0,1.0
224,140.0,1.0
225,140.0,1.0
226,127.0,4.0
227,126.0,3.0
228,114.0,1.0
229,115.0,1.0
230,115.0,1.0
231,114.0,1.0
232,138.0,1.0
233,137.0,4.0
234,137.0,4.0
235,125.0,2.0
236,136.0,2.0
237,124.0,3.0
238,136.0,2.0
239,136.0,2.0
240,135.0,3.0
241,135.0,3.0
242,135.0,3.0
243,134.0,3.0
244,134.0,3.0
245,134.0,3.0
246,134.0,3.0
247,133.0,1.0
248,133.0,1.0
249,133.0,1.0
250,133.0,1.0
251,133.0,1.0
252,132.0,1.0
253,132.0,1.0
254,133.0,1.0
255,133.0,1.0
256,132.0,1.0
257,120.0,2.0
258,120.0,2.0
259,120.0,2.0
260,120.0,2.0
261,108.0,1.0
262,108.0,1.0
263,120.0,2.0
264,108.0,1.0
265,108.0,1.0
266,108.0,1.0
267,108.0,1.0
268,96.0,0.0
269,108.0,1.0
270,109.0,1.0
271,84.0,0.0
272,84.0,0.0
273,84.0,0.0
274,84.0,0.0
275,84.0,0.0
276,72.0,0.0
277,72.0,0.0
278,72.0,0.0
279,72.0,0.0
280,72.0,0.0
281,39.0,3.0
282,39.0,3.0
283,51.0,1.0
284,50.0,3.0
285,50.0,3.0
286,50.0,3.0
287,50.0,3.0
288,50.0,3.0
289,50.0,3.0
290,38.0,4.0
291,38.0,4.0
292,38.0,4.0
293,38.0,4.0
294,37.0,0.0
295,49.0,1.0
296,49.0,1.0
297,48.0,0.0
298,36.0,1.0
299,36.0,1.0
300,36.0,1.0
301,49.0,1.0
302,49.0,1.0
303,48.0,0.0
304,48.0,0.0
305,48.0,0.0
306,48.0,0.0
307,48.0,0.0
308,48.0,0.0
309,48.0,0.0
310,49.0,1.0
311,61.0,3.0
312,61.0,3.0
313,61.0,3.0
314,60.0,2.0
315,60.0,2.0
316,60.0,2.0
317,60.0,2.0
318,60.0,2.0
319,61.0,3.0
320,61.0,3.0
321,61.0,3.0
322,61.0,3.0
323,62.0,4.0
324,62.0,4.0
325,50.0,3.0
326,62.0,4.0
327,50.0,3.0
328,51.0,1.0
329,51.0,1.0
330,51.0,1.0
331,63.0,4.0
332,63.0,4.0
333,62.0,4.0
334,62.0,4.0
335,62.0,4.0
336,62.0,4.0
337,62.0,4.0
338,62.0,4.0
339,63.0,4.0
340,64.0,1.0
341,75.0,0.0
342,74.0,1.0
343,74.0,1.0
344,74.0,1.0
345,61.0,3.0
346,73.0,4.0
347,73.0,4.0
348,73.0,4.0
349,72.0,0.0
350,73.0,4.0
351,73.0,4.0
352,73.0,4.0
353,84.0,0.0
354,84.0,0.0
355,84.0,0.0
356,84.0,0.0
357,84.0,0.0
358,74.0,1.0
359,74.0,1.0
360,74.0,1.0
361,73.0,4.0
362,73.0,4.0
363,73.0,4.0
364,85.0,2.0
365,74.0,1.0
366,74.0,1.0
367,100.0,1.0
368,99.0,0.0
369,111.0,0.0
370,28.0,2.0
371,28.0,2.0
372,28.0,2.0
373,39.0,3.0
374,28.0,2.0
375,15.0,3.0
376,15.0,3.0
377,15.0,3.0
378,15.0,3.0
379,14.0,1.0
380,15.0,3.0
381,2.0,3.0
382,2.0,3.0
383,3.0,4.0
384,3.0,4.0
385,13.0,2.0
386,13.0,2.0
387,13.0,2.0
388,13.0,2.0
389,25.0,4.0
390,25.0,4.0
391,25.0,4.0
392,12.0,2.0
393,24.0,0.0
394,12.0,2.0
395,0.0,1.0
396,0.0,1.0
397,0.0,1.0
398,43.0,4.0
399,44.0,1.0
400,43.0,4.0
401,43.0,4.0
402,43.0,4.0
403,42.0,2.0
404,54.0,3.0
405,53.0,4.0
406,68.0,0.0
407,68.0,0.0
408,68.0,0.0
409,80.0,0.0
410,80.0,0.0
411,81.0,4.0
412,70.0,0.0
413,69.0,3.0
414,70.0,0.0
415,59.0,2.0
416,70.0,0.0
417,83.0,2.0
418,82.0,1.0
419,94.0,1.0
420,106.0,4.0
421,107.0,2.0
422,119.0,1.0
423,122.0,3.0
424,122.0,3.0
425,134.0,3.0
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,,
453,,
454,,
455,,
456,,
457,,
458,,
459,,
460,,
461,,
462,,
463,,
464,,
465,,
466,,
467,,
468,,
469,,
470,,
471,,
472,,
473,,
474,,
475,,
476,,
477,,
478,,
479,,
480,,
481,,
482,27.0,3.0
483,27.0,3.0
484,27.0,3.0
485,27.0,3.0
486,27.0,3.0
487,27.0,3.0
488,39.0,3.0
489,40.0,4.0
490,39.0,3.0
491,25.0,4.0
492,25.0,4.0
493,14.0,1.0
494,26.0,1.0
495,48.0,0.0
496,49.0,1.0
497,49.0,1.0
498,50.0,3.0
499,49.0,1.0
500,24.0,0.0
501,12.0,2.0
502,12.0,2.0
503,13.0,2.0
504,0.0,1.0
505,2.0,3.0
506,2.0,3.0
507,2.0,3.0
508,1.0,1.0
509,20.0,2.0
510,20.0,2.0
511,71.0,2.0
512,71.0,2.0
513,118.0,2.0
514,117.0,3.0
515,129.0,0.0
516,141.0,0.0
517,129.0,0.0
518,115.0,1.0
519,115.0,1.0
520,115.0,1.0
521,102.0,4.0
522,37.0,0.0
523,55.0,4.0
524,66.0,2.0
525,65.0,1.0
526,65.0,1.0
