seg_id,class,src_file,src_line,length_m,n_transects,mid_x,mid_y,P_road,opos_zcontrast,lrm25_zcontrast,tpi15_zcontrast,slope_zcontrast,relief10_zcontrast,oneg_zcontrast,incision_depth_m
b0035,bold,bold_roads.shp,7,50.83,10,621643.44,4595273.2,0.6858,-2.0314,-1.8464,-2.6938,-0.0309,0.0547,0.2544,0.4687
f0036,faint,faint_roads.shp,0,48.11,9,623661.05,4593613.72,0.1339,-0.2439,-0.4959,-0.4059,-0.8051,-1.8063,0.7868,0.1599
f0037,faint,faint_roads.shp,0,47.95,9,623656.13,4593659.36,0.0955,-0.4199,-0.5842,-0.8507,-0.34,-0.3121,0.7125,0.1741
f0038,faint,faint_roads.shp,0,48.28,9,623650.12,4593705.88,0.0165,-0.6299,-0.4251,-1.1103,0.8096,1.8022,-0.4043,0.2297
f0039,faint,faint_roads.shp,0,48.18,9,623666.84,4593748.99,0.0087,-0.8033,0.0679,0.1659,0.7277,1.9311,-0.4408,0.1588
f0040,faint,faint_roads.shp,1,45.96,9,623685.37,4593804.15,0.0154,-0.548,-0.3888,-0.8581,0.4786,1.573,0.1885,0.2092
f0041,faint,faint_roads.shp,1,46.05,9,623702.08,4593845.28,0.0308,0.1271,-0.2181,-0.2941,0.5814,0.8543,-0.5134,0.1046
f0042,faint,faint_roads.shp,1,46.07,9,623709.09,4593890.65,0.0202,-0.7924,-0.4353,0.1221,0.095,0.7672,-0.2822,0.1297
f0043,faint,faint_roads.shp,2,61.03,12,623867.86,4593731.9,0.0078,-0.276,-0.4642,-0.3395,-0.4256,-0.4583,-0.2305,0.4752
f0044,faint,faint_roads.shp,2,61.05,12,623825.72,4593774.09,0.1652,-0.941,-0.7353,-1.0051,-0.1429,-0.2337,-0.0213,0.3066
f0045,faint,faint_roads.shp,3,43.05,8,623757.53,4593563.4,0.1817,-1.5833,-0.8831,-0.75,0.014,-0.0727,0.1716,0.3665
f0046,faint,faint_roads.shp,3,43.15,8,623715.97,4593570.73,0.0604,-1.1981,-0.3131,-0.4284,0.2766,-0.33,0.2476,0.2194
f0047,faint,faint_roads.shp,3,42.86,8,623674.96,4593576.66,0.0177,0.0497,0.1695,0.8898,-0.2925,-0.3317,-0.25,0.1284
f0048,faint,faint_roads.shp,4,48.99,9,623793.24,4593967.1,0.018,-1.4045,-0.7605,-0.1759,-0.1527,-0.4872,-0.9204,0.2675
f0049,faint,faint_roads.shp,4,48.86,9,623790.74,4593918.88,0.0994,-0.8173,-0.8973,-0.9809,-0.1907,-0.4852,-0.7267,0.22
f0050,faint,faint_roads.shp,4,48.78,9,623782.34,4593871.91,0.1324,-1.1081,-1.002,-1.052,-0.1957,-0.401,-0.3686,0.2393
f0051,faint,faint_roads.shp,5,43.23,8,622944.81,4593353.08,0.0086,-0.0967,-0.4561,-0.1552,0.8145,1.3447,-0.1108,0.1545
f0052,faint,faint_roads.shp,5,43.19,8,622908.45,4593375.02,0.0164,-0.1929,-0.4235,-0.3247,-0.2835,-0.1064,0.3682,0.1775
f0053,faint,faint_roads.shp,5,43.34,8,622872.46,4593397.98,0.0295,-0.2496,-0.0823,0.3765,-0.1974,0.0162,-1.48,0.2424
f0054,faint,faint_roads.shp,6,51.49,10,622871.21,4593415.09,0.0366,-0.0533,-0.2222,-0.0506,-0.5123,-0.7766,-0.1639,0.1847
f0055,faint,faint_roads.shp,7,46.06,9,622930.65,4593398.07,0.0185,-0.6754,-0.7624,-0.6221,0.7162,0.9052,-0.1284,0.1881
f0056,faint,faint_roads.shp,7,45.97,9,622896.62,4593427.36,0.0269,-0.3417,-0.1689,-0.7143,-0.5676,-1.8075,0.311,0.1659
f0057,faint,faint_roads.shp,8,52.51,10,622854.93,4593318.96,0.0046,0.0808,-0.0193,0.1355,-0.4028,-1.1364,-0.1505,0.145
f0058,faint,faint_roads.shp,8,52.64,10,622846.75,4593369.51,0.0007,-3.4286,-2.0056,-2.5915,0.4748,2.1143,0.7123,0.7766
f0059,faint,faint_roads.shp,9,37.7,7,622913.24,4593298.9,0.0122,0.4382,0.1116,0.484,-0.5166,-0.8133,-0.2456,0.1738
f0060,faint,faint_roads.shp,10,69.1,13,622882.54,4593233.1,0.015,-0.8987,-0.6288,-1.3215,1.1099,2.0523,0.4085,0.4037
f0061,faint,faint_roads.shp,11,38.26,7,622769.88,4593327.69,0.0031,-0.6748,0.2291,-0.2972,-0.1655,-0.1081,-0.1275,0.1741
f0062,faint,faint_roads.shp,11,38.25,7,622752.29,4593360.88,0.0061,0.6104,0.24,0.4451,0.0476,0.0204,0.0422,0.1084
f0063,faint,faint_roads.shp,12,40.56,8,620858.33,4593148.09,0.044,0.2704,-0.2298,0.1922,-1.6188,-2.3149,-0.6657,0.2888
f0064,faint,faint_roads.shp,12,40.53,8,620823.67,4593168.61,0.0031,0.9081,0.2777,0.9839,-1.8261,-2.5071,-1.3295,0.2837
f0065,faint,faint_roads.shp,13,51.01,10,620094.72,4594244.34,0.0497,-0.2855,-0.6274,-0.7818,0.3195,-0.0639,-0.0338,0.1533
f0066,faint,faint_roads.shp,13,51.04,10,620048.73,4594266.05,0.0146,-0.6462,-0.3243,-0.8688,0.1741,0.1808,-0.521,0.1715
f0067,faint,faint_roads.shp,13,50.6,10,620016.31,4594276.35,0.0359,-0.7049,-0.8772,-0.9796,0.1275,0.3608,-0.4156,0.1156
f0068,faint,faint_roads.shp,13,51.01,10,620029.87,4594233.96,0.0302,-0.5166,-0.5543,-0.4919,0.4547,0.4337,-0.2206,0.1534
f0069,faint,faint_roads.shp,13,51.05,10,620048.58,4594186.75,0.0211,-0.1935,-0.6489,-0.7376,0.2294,0.9488,0.1787,0.1688
f0070,faint,faint_roads.shp,14,49.46,9,619971.59,4594207.74,0.0263,-0.8364,-0.4982,-0.1781,0.3932,-0.6131,-0.2427,0.1265
f0071,faint,faint_roads.shp,14,49.58,9,620002.74,4594243.44,0.0176,-0.5895,-0.8273,-0.9627,-0.2027,-0.2004,0.2805,0.1548
f0072,faint,faint_roads.shp,15,49.39,9,619917.85,4594477.14,0.0262,0.5085,-0.2162,0.1105,-0.1263,-0.8246,-0.6319,0.1781
f0073,faint,faint_roads.shp,15,49.38,9,619868.61,4594476.1,0.0109,0.0143,-0.2862,-0.4707,0.5246,0.845,-0.1858,0.1602
f0074,faint,faint_roads.shp,15,49.31,9,619820.59,4594485.26,0.0082,0.5358,-0.0856,-0.0685,-0.6224,-1.8821,-0.0233,0.1007
f0075,faint,faint_roads.shp,16,59.71,11,620690.92,4596222.09,0.0053,0.0604,-0.1982,-0.3697,-0.5503,-0.8566,0.4796,0.1805
f0076,faint,faint_roads.shp,16,59.76,11,620637.7,4596248.5,0.0099,0.0759,-0.3731,-0.5845,-0.0765,-0.648,-0.4268,0.2126
f0077,faint,faint_roads.shp,17,42.74,8,620590.63,4596145.49,0.0772,0.1328,-0.2822,-0.2345,-0.1576,-0.1138,-0.1883,0.1558
f0078,faint,faint_roads.shp,18,57.98,11,621299.41,4596855.29,0.0223,-0.1348,-0.5193,-0.5591,-0.5676,-1.9024,0.0553,0.1675
f0079,faint,faint_roads.shp,18,59.34,11,621311.11,4596836.0,0.0057,0.6901,-0.1361,0.0513,-0.1627,-0.4138,0.3455,0.1119
f0080,faint,faint_roads.shp,19,48.63,9,620944.36,4597209.69,0.0073,0.6611,-0.0914,-0.3096,-0.5567,-0.4889,0.5613,0.1269
f0081,faint,faint_roads.shp,19,48.55,9,620929.53,4597255.64,0.0419,-0.0431,0.1326,0.4916,-0.0909,0.1843,-0.3507,0.1479
f0082,faint,faint_roads.shp,19,48.59,9,620913.14,4597299.24,0.0182,-0.3808,-0.0717,0.0443,0.024,-0.2082,-0.2953,0.1445
f0083,faint,faint_roads.shp,20,45.74,9,620899.0,4597293.77,0.0152,-0.1797,-0.4815,-0.805,-0.0869,-0.2238,-0.0583,0.1618
