pit_id,plat_id,block_id,split,centroid_x,centroid_y
110,,5.0,train,621658.6573510313,4593047.724645074
111,,20.0,train,622714.8813343508,4593397.115763449
112,,21.0,train,622960.2156528762,4593658.156732006
113,900.0,41.0,val,621617.4963278804,4594361.047408919
114,206.0,41.0,val,621509.8240275907,4594401.956895834
115,206.0,41.0,val,621515.4907470574,4594391.414434544
116,,41.0,val,621726.3808405447,4594208.881381626
117,,41.0,val,621738.7317537898,4594351.425506961
118,,29.0,val,621646.4064338156,4593809.137743774
119,896.0,18.0,train,621973.605404305,4593717.9481791975
120,896.0,18.0,train,621976.827334947,4593704.092154315
121,,45.0,train,622937.5384043946,4594351.286041634
122,931.0,57.0,train,623181.3690706043,4594538.977597525
123,,58.0,train,623289.1119449004,4594658.675555055
124,939.0,58.0,train,623568.508294042,4594634.943212575
125,940.0,58.0,train,623560.3340589491,4594755.077165807
126,934.0,59.0,test,623692.8314033451,4594629.778967709
127,933.0,58.0,train,623569.5007636081,4594508.9959006235
128,,59.0,test,623685.8329232666,4594510.988548619
129,935.0,59.0,test,623832.3249425048,4594524.9894485725
130,936.0,59.0,test,623952.9983437672,4594540.585051257
131,938.0,59.0,test,623835.2341171259,4594648.036584434
132,,59.0,test,623951.3429076007,4594620.369663839
133,941.0,59.0,test,623810.8838491802,4594767.26772136
134,,59.0,test,623923.725091293,4594868.284896623
135,942.0,71.0,test,623922.4602499054,4594982.640591301
136,943.0,59.0,test,623785.5877923699,4594866.677488431
137,944.0,71.0,test,623682.5250504006,4594899.067033434
138,948.0,70.0,train,623542.9070682322,4594896.063951296
139,,71.0,test,623791.6868128806,4595009.724978622
140,,83.0,train,623717.8289804901,4595351.898302866
141,,83.0,train,623726.0271991334,4595359.924394363
142,,83.0,train,623842.0960758284,4595332.220348325
143,955.0,83.0,train,623953.0069864709,4595495.9479792
144,956.0,83.0,train,623802.5797641814,4595598.955601173
145,957.0,83.0,train,623928.4733772993,4595620.10114614
146,,95.0,test,623936.1368443007,4595744.4655292565
147,959.0,95.0,test,623804.9506051416,4595715.610700373
148,961.0,95.0,test,623798.6089382408,4595876.495547746
149,962.0,95.0,test,623653.9864402493,4595859.831756031
150,963.0,95.0,test,623648.7338276302,4595991.600031467
151,964.0,95.0,test,623790.7416125434,4595977.309949278
152,,107.0,train,623915.6809491013,4596021.354070544
153,,95.0,test,623932.8801745239,4595925.124160521
154,969.0,107.0,train,623903.3308645954,4596149.384200606
155,968.0,107.0,train,623777.0938197855,4596125.781163625
156,973.0,107.0,train,623917.2240315324,4596245.443911039
157,,107.0,train,623781.1297303422,4596235.463831502
158,974.0,119.0,train,623783.8200864547,4596379.003209604
159,,119.0,train,623890.0053968704,4596388.33959186
160,976.0,119.0,train,623877.1512016725,4596530.551639626
161,977.0,119.0,train,623877.0450236518,4596654.743967229
162,980.0,119.0,train,623741.4131184183,4596658.742455951
163,983.0,131.0,train,623856.3218173115,4596793.581760068
164,,131.0,train,623986.6201575145,4596751.287150935
165,978.0,119.0,train,623986.487793535,4596662.854312045
166,,131.0,train,623868.8830930332,4596903.272238006
167,981.0,131.0,train,623769.8760813597,4596778.463225406
168,,131.0,train,623735.7889936656,4596881.273307525
169,,131.0,train,623986.2253299208,4597032.03631462
170,,143.0,val,623956.8530633241,4597131.182789971
171,,131.0,train,623864.9219981388,4596999.350570993
172,617.0,131.0,train,623633.7108002948,4597003.425251077
173,,143.0,val,623956.6167001352,4597366.411241302
174,,130.0,test,623316.6294275511,4596855.817758022
175,615.0,118.0,train,623439.3656520229,4596726.572911119
176,624.0,118.0,train,623459.6145720918,4596589.126127615
177,626.0,118.0,train,623552.1730148958,4596492.901186596
178,623.0,118.0,train,623332.1460545955,4596472.334900572
179,611.0,130.0,test,623315.3774114767,4596981.564934497
180,612.0,129.0,train,623194.7979448446,4596847.294699977
181,620.0,117.0,train,623084.674015116,4596712.423165913
182,511.0,117.0,train,622963.3904362682,4596586.258440839
183,,117.0,train,622987.8319195269,4596470.349186492
184,514.0,105.0,val,622948.8990372956,4596331.061396512
185,503.0,104.0,train,622838.7775838891,4596330.530173422
186,631.0,105.0,val,623225.6531890032,4596099.679250653
187,,106.0,train,623345.8865850361,4596078.792687004
188,635.0,93.0,train,623205.8505014877,4595834.428073523
189,513.0,105.0,val,623064.0734186291,4596356.624593691
190,,93.0,train,622958.6930794196,4595678.58229375
191,491.0,92.0,train,622822.5283905243,4595695.889960575
192,497.0,93.0,train,623079.5541522385,4595932.231279912
193,484.0,104.0,train,622704.0093877951,4596075.379941289
194,,92.0,train,622694.3128612923,4595960.490607308
195,,92.0,train,622574.6107090724,4595956.266954157
196,,92.0,train,622721.0251377266,4595727.645379626
197,,103.0,val,622301.0332837426,4596197.958954961
198,504.0,104.0,train,622706.1230065869,4596327.370733482
199,509.0,116.0,val,622833.3811777977,4596459.573514388
200,506.0,116.0,val,622581.7252946618,4596443.218168362
201,508.0,116.0,val,622700.6138390647,4596588.649502591
202,510.0,116.0,val,622827.4865491162,4596608.759872694
203,517.0,128.0,train,622705.1380793519,4596827.85483018
204,515.0,116.0,val,622683.1268555742,4596711.635245793
205,,116.0,val,622677.1671836185,4596718.248891937
206,518.0,128.0,train,622575.8895485642,4596852.337243696
207,,127.0,train,622439.4764885282,4596858.322096388
208,521.0,128.0,train,622565.5719450761,4596976.044317248
209,522.0,128.0,train,622654.5825442525,4597090.648550081
210,,128.0,train,622828.9170909711,4596967.411820577
211,622.0,129.0,train,622941.2836630999,4596952.97595833
212,608.0,129.0,train,622947.5145905175,4597070.371148304
213,608.0,129.0,train,622943.8477252157,4597078.554705152
214,604.0,129.0,train,623185.146192034,4597119.780125077
215,603.0,142.0,train,623269.5807212883,4597207.517810843
216,602.0,141.0,train,623163.5777827301,4597335.543698832
217,,142.0,train,623268.0091677025,4597472.856153734
218,,141.0,train,623127.4460097954,4597479.125025569
219,,141.0,train,623047.7302132923,4597379.955386303
220,607.0,141.0,train,622907.7243386969,4597224.169314235
221,605.0,141.0,train,623039.1600990376,4597189.356880493
222,,140.0,test,622776.6892082607,4597391.148415785
223,,140.0,test,622771.9282797024,4597488.69597344
224,,140.0,test,622673.1845408543,4597477.881946538
225,596.0,140.0,test,622652.7627544139,4597356.791842787
226,,127.0,train,622177.3706371081,4596979.533240132
227,590.0,126.0,val,622037.9459561288,4596804.121913678
228,,114.0,val,622052.0995984877,4596708.4503020635
229,593.0,115.0,val,622171.0877004972,4596732.015573406
230,595.0,115.0,val,622313.7323604926,4596723.591990849
231,,114.0,val,622052.2458305442,4596571.963582558
232,535.0,138.0,train,621754.376454311,4597271.531688857
233,539.0,137.0,train,621655.9418256588,4597384.52655458
234,541.0,137.0,train,621495.9729028686,4597211.800434851
235,549.0,125.0,val,621383.5146709591,4597089.399206668
236,553.0,136.0,train,621355.3082021481,4597196.105941735
237,550.0,124.0,train,621240.2387715633,4597095.94607045
238,554.0,136.0,train,621251.7326027561,4597218.8287183335
239,557.0,136.0,train,621132.2945550281,4597237.919316306
240,559.0,135.0,train,620971.0180917851,4597361.782829424
241,,135.0,train,620819.584562818,4597243.365600779
242,562.0,135.0,train,620727.5698191968,4597315.855764159
243,,134.0,test,620582.209540707,4597445.350422255
244,567.0,134.0,test,620558.3832565321,4597347.354223942
245,570.0,134.0,test,620417.7190833999,4597369.490513954
246,571.0,134.0,test,620302.3853138912,4597374.072302743
247,572.0,133.0,train,620194.6331916766,4597393.159305055
248,573.0,133.0,train,620090.4991511735,4597282.970960417
249,576.0,133.0,train,619964.7443355512,4597268.43708791
250,575.0,133.0,train,619953.4574889336,4597389.239119558
251,574.0,133.0,train,620027.8000847694,4597473.462116006
252,673.0,132.0,train,619824.4281853961,4597375.275825081
253,672.0,132.0,train,619836.9661094372,4597268.5384073425
254,,133.0,train,619919.2037631532,4597182.238215896
255,,133.0,train,619917.3357587435,4597174.2257170575
256,674.0,132.0,train,619691.874513518,4597247.236066588
257,,120.0,train,619510.4540825413,4597005.545542882
258,682.0,120.0,train,619650.3020640679,4597026.073211471
259,,120.0,train,619670.1410841424,4596890.307309303
260,,120.0,train,619678.7689087392,4596895.802516765
261,690.0,108.0,train,619558.8222286846,4596618.725394122
262,,108.0,train,619666.5445093786,4596652.666198745
263,,120.0,train,619683.3019963473,4596751.651570578
264,,108.0,train,619534.7055549151,4596504.0800635945
265,691.0,108.0,train,619672.0490165027,4596483.573090812
266,691.0,108.0,train,619671.3018391951,4596475.444366955
267,692.0,108.0,train,619699.4124550001,4596390.369373564
268,705.0,96.0,test,619676.0574431089,4596277.834712225
269,693.0,108.0,train,619848.4046850223,4596438.241774857
270,704.0,109.0,val,619910.2727774364,4596400.584031494
271,0.0,84.0,val,619670.1289764089,4595966.05893054
272,721.0,84.0,val,619699.0977353158,4595841.21220381
273,,84.0,val,619685.3320026083,4595728.082975493
274,,84.0,val,619718.6109967523,4595735.381682743
275,,84.0,val,619722.0826475682,4595745.109957475
276,724.0,72.0,val,619554.3489700609,4595600.0189514365
277,726.0,72.0,val,619714.0894424334,4595570.492300243
278,725.0,72.0,val,619663.8934928791,4595424.959955299
279,,72.0,val,619651.5028500677,4595292.786687655
280,747.0,72.0,val,619547.7085703311,4595273.68615649
281,,39.0,val,620849.4338184895,4594493.804647684
282,869.0,39.0,val,620830.1438419058,4594493.138941042
283,,51.0,train,620723.870577489,4594556.350243491
284,825.0,50.0,train,620477.6032942064,4594565.282507338
285,826.0,50.0,train,620441.2519959161,4594659.278186428
286,,50.0,train,620476.9526314109,4594665.403919845
287,824.0,50.0,train,620568.113161389,4594685.890141404
288,818.0,50.0,train,620464.0791628263,4594798.325369354
289,784.0,50.0,train,620329.566908187,4594682.363625891
290,827.0,38.0,val,620325.1494203721,4594478.98563507
291,830.0,38.0,val,620438.8781269435,4594400.12287256
292,829.0,38.0,val,620371.7754553537,4594398.581839326
293,828.0,38.0,val,620256.2437365203,4594395.021572681
294,780.0,37.0,train,620062.5476712288,4594468.606474558
295,768.0,49.0,test,619951.7624979374,4594521.481899284
296,785.0,49.0,test,620086.2009866927,4594650.589089729
297,767.0,48.0,train,619824.0631049857,4594532.531998521
298,854.0,36.0,train,619781.822095321,4594332.536574964
299,775.0,36.0,train,619587.0001951018,4594300.855211184
300,773.0,36.0,train,619529.73959131,4594300.636877174
301,769.0,49.0,test,619967.0863156407,4594670.864490217
302,769.0,49.0,test,619949.8086690055,4594662.186106042
303,766.0,48.0,train,619820.038078767,4594659.106868901
304,762.0,48.0,train,619693.1316060419,4594655.705230345
305,764.0,48.0,train,619555.7435114782,4594523.600019171
306,763.0,48.0,train,619564.8447107433,4594642.448949865
307,761.0,48.0,train,619667.9730816825,4594758.509901989
308,760.0,48.0,train,619545.7046047838,4594746.728761404
309,770.0,48.0,train,619814.8960867042,4594771.0922422
310,772.0,49.0,test,620076.7128345141,4594790.973264124
311,789.0,61.0,train,620201.730317044,4594893.592181571
312,,61.0,train,620045.6460012503,4594909.185139495
313,751.0,61.0,train,619941.8006811684,4594903.419903252
314,749.0,60.0,train,619782.0935218845,4595006.449064196
315,755.0,60.0,train,619563.6693581867,4594993.987505083
316,754.0,60.0,train,619660.8314825331,4595008.813643678
317,748.0,60.0,train,619525.144478728,4595145.619323927
318,756.0,60.0,train,619677.6949546278,4595142.703095003
319,750.0,61.0,train,619936.3560154994,4595020.448273789
320,790.0,61.0,train,620056.6448114992,4595030.256028775
321,758.0,61.0,train,619927.9930679644,4595160.149864954
322,799.0,61.0,train,620037.8162806331,4595175.940184563
323,787.0,62.0,train,620329.9389626344,4594890.090976415
324,787.0,62.0,train,620334.2094655018,4594911.988757358
325,817.0,50.0,train,620399.3476645951,4594863.152347255
326,816.0,62.0,train,620437.3406779494,4594926.089898985
327,815.0,50.0,train,620594.5612337671,4594812.406458766
328,,51.0,train,620731.712072601,4594787.958984127
329,821.0,51.0,train,620853.9460649373,4594782.801231389
330,870.0,51.0,train,620979.6257088737,4594555.602326122
331,,63.0,train,620856.2071615555,4594895.966551004
332,814.0,63.0,train,620712.187569005,4594877.193669684
333,819.0,62.0,train,620587.8152021054,4594910.4343102425
334,806.0,62.0,train,620442.6823872528,4595046.299392647
335,792.0,62.0,train,620332.991127216,4595057.762119473
336,793.0,62.0,train,620327.1121876856,4595165.675048138
337,794.0,62.0,train,620431.3946585676,4595176.428049562
338,,62.0,train,620582.8329658983,4595185.866975467
339,319.0,63.0,train,620692.5028378125,4595192.313052991
340,238.0,64.0,train,621090.829138087,4595211.2626706865
341,318.0,75.0,train,620837.8813709937,4595289.031663271
342,,74.0,train,620574.3342248987,4595349.496229223
343,,74.0,train,620443.8320719078,4595320.951195547
344,795.0,74.0,train,620306.6349504045,4595308.20873249
345,800.0,61.0,train,620189.1203698919,4595178.652793438
346,797.0,73.0,test,620184.6735785896,4595305.243471312
347,801.0,73.0,test,620060.5425577213,4595302.603500227
348,759.0,73.0,test,619932.3820180475,4595282.996046858
349,,72.0,val,619782.5374554913,4595299.265577454
350,733.0,73.0,test,619929.1055522981,4595430.242758758
351,732.0,73.0,test,619916.032875306,4595531.30037902
352,729.0,73.0,test,619947.4650069023,4595616.649545526
353,,84.0,val,619866.7717296849,4595742.5986937
354,714.0,84.0,val,619840.4831694823,4595867.718018458
355,713.0,84.0,val,619567.7600593775,4595865.892620021
356,713.0,84.0,val,619562.9167965173,4595871.442500117
357,712.0,84.0,val,619553.7130973918,4595999.564414655
358,320.0,74.0,train,620581.9724634592,4595577.664070307
359,805.0,74.0,train,620425.6428859293,4595457.977833072
360,804.0,74.0,train,620319.4702339879,4595434.896615455
361,803.0,73.0,test,620186.64721064,4595429.678071677
362,735.0,73.0,test,620194.810939136,4595559.030816253
363,802.0,73.0,test,620048.1410912605,4595437.064377363
364,736.0,85.0,train,620208.7843707266,4595655.238996329
365,738.0,74.0,train,620300.1605186813,4595558.27767568
366,739.0,74.0,train,620407.9574887947,4595558.358198318
367,,100.0,train,621116.2994083661,4596248.29863966
368,,99.0,train,620896.358278976,4596311.767258822
369,744.0,111.0,test,620863.3059070416,4596540.152716458
370,872.0,28.0,train,621248.4465235682,4593799.564409632
371,911.0,28.0,train,621263.3892853616,4593923.89111114
372,910.0,28.0,train,621139.7194102707,4594030.48013399
373,,39.0,val,620930.3272308785,4594194.417881356
374,,28.0,train,621143.9842999226,4593773.586420024
375,,15.0,train,620992.2626140168,4593682.357004504
376,,15.0,train,620887.3572394412,4593706.747824138
377,,15.0,train,620847.0980631371,4593749.788172319
378,,15.0,train,620844.7980593396,4593590.470401649
379,,14.0,train,620620.9141957546,4593630.419977384
380,866.0,15.0,train,620642.9695168142,4593464.25391554
381,862.0,2.0,train,620371.4554108055,4593257.462872837
382,863.0,2.0,train,620505.6437997685,4593124.96821471
383,879.0,3.0,val,620668.0041417769,4593062.643391685
384,,3.0,val,620664.000396389,4593023.842189315
385,859.0,13.0,train,620129.911085896,4593396.954613447
386,858.0,13.0,train,620134.8120358945,4593514.668022889
387,868.0,13.0,train,620222.616478161,4593626.062240311
388,,13.0,train,620203.169871757,4593738.156072994
389,,25.0,train,619979.2935238669,4593789.589559369
390,836.0,25.0,train,619875.2462940417,4593892.374551598
391,841.0,25.0,train,619879.6108215943,4593774.070315985
392,840.0,12.0,train,619842.8675261544,4593653.883974498
393,837.0,24.0,train,619740.2877414906,4593902.824159374
394,848.0,12.0,train,619856.6961080168,4593405.920822819
395,844.0,0.0,train,619609.508649683,4593289.03100293
396,846.0,0.0,train,619557.4657126786,4593197.569844864
397,849.0,0.0,train,619576.425302717,4593063.620846117
398,,43.0,train,622460.1192842977,4594415.812476144
399,,44.0,train,622567.3782188618,4594253.300310917
400,,43.0,train,622436.3752913217,4594218.59163893
401,,43.0,train,622305.6605083655,4594226.395814217
402,,43.0,train,622314.9518790503,4594310.670979823
403,,42.0,test,622096.0321078497,4594401.214399345
404,209.0,54.0,train,621879.0837880486,4594587.151822856
405,,53.0,train,621749.4973105198,4594567.119691249
406,991.0,68.0,train,622568.1982697669,4594896.076854475
407,,68.0,train,622590.8882083311,4595067.366685436
408,,68.0,train,622702.0679280449,4595189.474202338
409,992.0,80.0,train,622545.5720122544,4595297.22959586
410,,80.0,train,622603.7539479869,4595384.486670333
411,,81.0,test,623047.4096261908,4595363.839636888
412,,70.0,train,623289.5601588999,4595025.14545168
413,,69.0,val,623213.563753622,4594906.171886068
414,985.0,70.0,train,623291.7584520723,4594881.14373684
415,,59.0,test,623690.4934241244,4594757.619727806
416,,70.0,train,623546.8516377199,4595001.730304105
417,958.0,83.0,train,623674.7222158237,4595560.289545293
418,636.0,82.0,test,623436.7986597372,4595606.461272323
419,,94.0,val,623352.6995452745,4595795.754661283
420,,106.0,train,623621.0809797621,4596112.7025684565
421,971.0,107.0,train,623629.6027336131,4596208.2863503955
422,979.0,119.0,train,623754.6326445981,4596560.176100175
423,578.0,122.0,test,620571.3709988213,4597076.613171958
424,577.0,122.0,test,620453.6155493038,4597060.0573638575
425,,134.0,test,620562.2691080201,4597224.172463759
426,161.0,,unused,699559.1045856946,4647863.281366442
427,,,unused,699645.789320704,4647865.9860780155
428,,,unused,699515.6346560933,4647809.737755877
429,,,unused,699468.54611007,4647874.186066306
430,,,unused,699402.5648706614,4647903.698081372
431,,,unused,699297.9205640181,4647914.5753245475
432,,,unused,699458.4512969748,4647963.602993437
433,,,unused,699538.1856708989,4647961.244778178
434,,,unused,699600.4858580319,4647912.132071179
435,,,unused,699650.7185123134,4647954.225684658
436,,,unused,699726.8348095589,4647956.000147959
437,,,unused,699789.7683556824,4647920.442554737
438,,,unused,699823.8549431011,4647894.199945698
439,173.0,,unused,699837.2717260639,4647821.613158876
440,,,unused,699736.9659736624,4647862.812887108
441,,,unused,699694.6894464875,4647814.924321334
442,,,unused,699357.2121923603,4647972.369355014
443,,,unused,699268.1704544141,4647969.437420333
444,,,unused,699212.587111794,4648018.531507472
445,,,unused,699161.8107175523,4647967.294669329
446,,,unused,699166.7262640359,4647856.279098342
447,,,unused,699975.9708668113,4647775.837332111
448,,,unused,700080.2329507996,4647780.130633235
449,,,unused,700361.9823033232,4648084.298926631
450,,,unused,700392.4262157313,4648093.914488762
451,,,unused,700409.641326447,4648096.192901629
452,,,unused,699455.5774899233,4648172.951361323
453,,,unused,699449.2978092189,4648227.232818897
454,,,unused,699389.7850523259,4648232.4230741
455,,,unused,699328.405757219,4648212.288261024
456,,,unused,699387.8886862207,4648303.674219934
457,,,unused,699455.5741533262,4648066.570833265
458,,,unused,699725.7573453577,4647156.153016321
459,,,unused,699806.3399701664,4647176.569648977
460,,,unused,699570.045000513,4647113.641633762
461,,,unused,699459.5139426194,4647107.630833035
462,,,unused,699535.3272293268,4647015.666660639
463,,,unused,699457.8034885655,4647020.803683752
464,,,unused,699567.2593236126,4646914.3252110295
465,,,unused,699472.2167017233,4646912.827277689
466,,,unused,699521.6295654153,4646959.72526752
467,,,unused,699641.0095864052,4647018.58260695
468,,,unused,699607.1415242313,4646979.7302971445
469,,,unused,699612.5088136345,4647081.494671286
470,,,unused,699714.8914993908,4646962.077720295
471,,,unused,699802.0684969341,4646866.08999157
472,,,unused,699704.1786532379,4646852.328356653
473,,,unused,698557.1300698728,4646482.088815981
474,,,unused,698557.6276102242,4646423.299191239
475,,,unused,698590.517205102,4646673.563024451
476,,,unused,698653.6269912329,4646715.198144044
477,,,unused,698736.2786664756,4646544.952487352
478,,,unused,698796.8948677686,4646594.742677129
479,,,unused,698788.6093618617,4646711.005867691
480,,,unused,698680.503039692,4646477.633831175
481,,,unused,698656.1014399959,4646823.221661119
482,,27.0,train,620634.3991407551,4593829.031056796
483,,27.0,train,620741.3705611048,4593854.5060361
484,,27.0,train,620855.3026759365,4593821.441114397
485,,27.0,train,620830.4758323757,4593922.649842119
486,,27.0,train,620825.8763551561,4594029.384541084
487,,27.0,train,620739.7679708101,4594102.653967797
488,,39.0,val,620892.401168496,4594259.784837838
489,,40.0,train,621001.255170389,4594400.996451196
490,,39.0,val,620994.9021946747,4594403.417317434
491,853.0,25.0,train,620125.7223271597,4594020.167835935
492,,25.0,train,620180.8305734149,4593773.469589371
493,,14.0,train,620273.7842416504,4593713.930554964
494,,26.0,val,620280.2555916606,4593873.261854979
495,765.0,48.0,train,619685.4709555177,4594514.573155878
496,779.0,49.0,test,620065.1428927827,4594568.338453718
497,782.0,49.0,test,620199.0213672598,4594673.191454289
498,783.0,50.0,train,620335.1223788954,4594581.462542998
499,786.0,49.0,test,620209.0876596096,4594793.632505161
500,834.0,24.0,train,619601.1625727963,4594049.502590304
501,839.0,12.0,train,619621.2912149322,4593661.195100103
502,,12.0,train,619734.735450342,4593662.158167137
503,,13.0,train,619967.8561648687,4593404.7076724265
504,860.0,0.0,train,619851.9250428997,4593269.837510878
505,865.0,2.0,train,620523.2399435054,4593338.168440184
506,864.0,2.0,train,620514.5723611041,4593253.8086346295
507,861.0,2.0,train,620365.8495462694,4593132.196814274
508,,1.0,val,620239.0656372759,4593252.517142182
509,,20.0,train,622842.8798139311,4593533.416317473
510,,20.0,train,622862.8410014904,4593554.293789848
511,947.0,71.0,test,623664.3357563223,4595016.021961494
512,951.0,71.0,test,623672.2966038871,4595145.945020354
513,614.0,118.0,train,623327.8824182061,4596721.944762927
514,619.0,117.0,train,623204.3497852682,4596718.356790368
515,,129.0,train,622977.2395194997,4596854.813312095
516,,141.0,train,623045.8644329474,4597491.446261819
517,609.0,129.0,train,623044.5931076171,4596985.60169321
518,,115.0,val,622450.5748588876,4596605.900001694
519,,115.0,val,622325.5561243645,4596608.737410826
520,,115.0,val,622319.9094933897,4596472.478571703
521,,102.0,train,622084.2474653233,4596217.145972229
522,778.0,37.0,train,619932.3697020276,4594345.773699355
523,,55.0,train,622448.2486135801,4594655.267005311
